3W3;8,1 mm 8,1 mm
3W3.1;8,1 mm
3W5;8,1 mm
3W7;8,1 mm
4W1;8,1 mm
20W7;6 mm
21W4;10 mm
21W5;10 mm
30W0;4,5
58W2;5.3
58W3;5.3
58W8;5.3
60W3;10 mm
60W4;10 mm
70W3;5.3
2W1;8,1 mm
20W7;6 mm
21W3;10 mm
58W0;
58W2;6,7
58W4;6,5 mm
65W1;9,9 mm
2W0;6,6 mm
2W3;5,0 mm
62W1;0,15 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
1W1;8,2 mm
2W0;8,1 mm
2W3;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
3W1;8,2 mm
1W1;8,2 mm
2W0;8,1 mm
2W3;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
1W3;8,1 mm
3W1;8,2 mm
3W1;8,2 mm
1W1;11,1 mm
1W1;8,2 mm
2W1;8,2 mm
3W1;8,2 mm
1W0;8,1 mm
1W3;8,2 mm
1W5;8,1 mm
2W0;8,1 mm
2W3;8,2 mm
